,"""address""","""bathrooms""","""country""","""distance""","""district""","""exterior""","""externalReference""","""floor""","""has360""","""has3DTour""","""hasLift""","""hasPlan""","""hasVideo""","""isParkingSpaceIncludedInPrice""","""latitude""","""longitude""","""municipality""","""neighborhood""","""newDevelopment""","""numPhotos""","""operation""","""price""","""priceByArea""","""propertyCode""","""propertyType""","""province""","""rooms""","""showAddress""","""size""","""status""","""thumbnail""","""title""","""typology""","""url""",":""address""","""newDevelopmentFinished""","""isSmokingAllowed""","""tenantGender""","""tenantNumber""","""parkingSpacePrice""","""hiddenResults""","""itemsPerPage""","""lowerRangePosition""","""numPaginations""","""paginable""","""summary""","""total""","""totalPages"""
21,"""CalleelGranero""",2,"""es""","""45072""",,false,"""203-6875482""","""bj""",false,false,,false,false,,40.2553725,-4.1911179,"""Mentrida""",,false,0,"""sale""",114284.0,625.0,"""87381689""","""chalet""","""Toledo""",3,false,183.0,"""good""",,"""ChaletadosadoenCalleelGranero""","""chalet""","""https://www.idealista.com/inmueble/87381689/""",,,,,,,,,,,,,,
22,"""CalleSolanilla""",2,"""es""","""53662""",,false,"""003241""",,false,false,,false,false,,40.6201862,-4.2789326,"""SantaMariadelaAlameda""",,false,12,"""sale""",75000.0,532.0,"""82992446""","""chalet""","""Madrid""",4,false,141.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/7e/2b/609366701.jpg""","""CasaindependienteenCalleSolanilla""","""chalet""","""https://www.idealista.com/inmueble/82992446/""",,,,,,,,,,,,,,
23,"""CalleNorte""",2,"""es""","""38586""",,false,"""203-6874918""","""1""",false,false,false,false,false,true,40.1825076,-4.0390404,"""CasarrubiosdelMonte""",,false,7,"""sale""",45100.0,739.0,"""83965148""","""flat""","""Toledo""",2,false,61.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/05/b8/693294131.jpg""","""PisoenCalleNorte""",,"""https://www.idealista.com/inmueble/83965148/""",,,,,,,,,,,,,,
24,"""Callebarrancodevalcaliente""",1,"""es""","""38308""",,false,"""203-6880483""","""bj""",false,false,true,false,false,true,40.1875397,-4.0405945,"""CasarrubiosdelMonte""",,false,8,"""sale""",21000.0,447.0,"""40107829""","""flat""","""Toledo""",1,false,47.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/64/9a/647678243.jpg""","""PisoenCallebarrancodevalcaliente""",,"""https://www.idealista.com/inmueble/40107829/""",,,,,,,,,,,,,,
25,"""CalleMarmol""",1,"""es""","""20027""","""Sureste""",false,"""75000030458""",,false,false,true,false,false,,40.4493564,-3.4705378,"""TorrejondeArdoz""",,false,9,"""sale""",84300.0,1258.0,"""87834525""","""flat""","""Madrid""",3,false,67.0,,"""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/dd/0c/732060595.jpg""","""PisoenCalleMarmol""",,"""https://www.idealista.com/inmueble/87834525/""",,,,,,,,,,,,,,
26,"""MARMOL",1,"""es""","""20255""","""Sureste""",true,"""marmol","""2""",false,false,true,false,false,,40.4500669,-3.4679613,"""TorrejondeArdoz""",,false,15,"""sale""",84300.0,1204.0,"""86556813""","""flat""","""Madrid""",3,true,70.0,"""renew""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/b4/aa/696655589.jpg""","""PisoenMARMOL",,"""https://www.idealista.com/inmueble/86556813/""",,,,,,,,,,,,,,
27,"""LasVentasdeRetamosa""",3,"""es""","""45299""",,false,"""105111""",,false,false,,true,false,true,40.1525151,-4.1098147,"""LasVentasdeRetamosa""",,false,65,"""sale""",116900.0,506.0,"""83406746""","""chalet""","""Toledo""",4,false,231.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/f5/48/617393199.jpg""","""Chaletadosado""","""chalet""","""https://www.idealista.com/inmueble/83406746/""",,,,,,,,,,,,,,
28,"""FedericoGarciaLorca",3,"""es""","""48790""",,false,"""AREFUFEDERICOGARCIALORCA10""",,false,false,,false,false,,40.5723871,-3.1637624,"""Chiloeches""",,false,15,"""sale""",94000.0,862.0,"""87081473""","""chalet""","""Guadalajara""",3,true,109.0,"""renew""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/92/d3/710805235.jpg""","""ChaletadosadoenFedericoGarciaLorca","""chalet""","""https://www.idealista.com/inmueble/87081473/""",,,,,,,,,,,,,,
29,"""RupertoChapi",3,"""es""","""45977""",,false,"""CARAQUIZRUPERTOCHAPI6""",,false,false,,false,false,true,40.7905734,-3.4705812,"""Uceda""",,false,25,"""sale""",102900.0,539.0,"""87956994""","""chalet""","""Guadalajara""",4,true,191.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/11/be/735062076.jpg""","""ChaletpareadoenRupertoChapi","""chalet""","""https://www.idealista.com/inmueble/87956994/""",,,,,,,,,,,,,,
30,"""CalleCiudadReals/n""",1,"""es""","""45917""",,false,"""5945802""","""bj""",false,false,,false,false,true,40.2401214,-4.1929407,"""Mentrida""",,false,11,"""sale""",63319.0,422.0,"""87848659""","""chalet""","""Toledo""",3,true,150.0,,"""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/e1/68/732397264.jpg""","""ChaletadosadoenCalleCiudadReals/n""","""chalet""","""https://www.idealista.com/inmueble/87848659/""",,,,,,,,,,,,,,
